,Age,Purchase Amount (USD),Review Rating,Previous Purchases,Category,Color,Season,Frequency of Purchases,Cluster
0,55,53,3.1,14,Clothing,Gray,Winter,Fortnightly,4
1,19,64,3.1,2,Clothing,Maroon,Winter,Fortnightly,1
2,50,73,3.1,23,Clothing,Maroon,Spring,Weekly,4
3,21,90,3.5,49,Footwear,Maroon,Spring,Weekly,2
4,45,49,2.7,31,Clothing,Turquoise,Spring,Annually,5
5,46,20,2.9,14,Footwear,White,Summer,Weekly,4
6,63,85,3.2,49,Clothing,Gray,Fall,Quarterly,5
7,27,34,3.2,19,Clothing,Charcoal,Winter,Weekly,1
8,26,97,2.6,8,Outerwear,Silver,Summer,Annually,1
9,57,31,4.8,4,Accessories,Pink,Spring,Quarterly,3
10,53,34,4.1,26,Footwear,Purple,Fall,Bi-Weekly,3
11,30,68,4.9,10,Clothing,Olive,Winter,Fortnightly,1
12,61,72,4.5,37,Outerwear,Gold,Winter,Fortnightly,0
13,65,51,4.7,31,Clothing,Violet,Spring,Weekly,3
14,64,53,4.7,34,Outerwear,Teal,Winter,Weekly,3
15,64,81,2.8,8,Clothing,Teal,Winter,Monthly,4
16,25,36,4.1,44,Accessories,Gray,Spring,Bi-Weekly,2
17,53,38,4.7,36,Clothing,Lavender,Winter,Quarterly,3
18,52,48,4.6,17,Clothing,Black,Summer,Weekly,3
19,66,90,3.3,46,Clothing,Green,Summer,Bi-Weekly,0
20,21,51,2.8,50,Clothing,Black,Winter,Every 3 Months,5
21,31,62,4.1,22,Clothing,Charcoal,Winter,Quarterly,1
22,56,37,3.2,32,Clothing,Peach,Summer,Annually,4
23,31,88,4.4,40,Clothing,White,Winter,Weekly,2
24,18,22,2.9,16,Outerwear,Green,Fall,Weekly,1
25,18,25,3.6,14,Clothing,Silver,Summer,Annually,1
26,38,20,3.6,13,Accessories,Red,Spring,Annually,3
27,56,56,5.0,7,Clothing,Cyan,Summer,Every 3 Months,3
28,54,94,4.4,41,Accessories,Gray,Fall,Every 3 Months,0
29,31,48,4.1,14,Clothing,Black,Fall,Weekly,1
30,57,31,4.7,16,Accessories,Black,Winter,Monthly,3
31,33,79,4.7,45,Clothing,Brown,Winter,Monthly,2
32,36,67,4.9,37,Outerwear,Silver,Summer,Annually,2
33,54,38,3.3,45,Clothing,Green,Summer,Quarterly,5
34,36,91,4.6,38,Clothing,Violet,Spring,Quarterly,2
35,54,33,4.0,48,Clothing,Cyan,Summer,Bi-Weekly,3
36,35,69,4.6,44,Clothing,Maroon,Winter,Fortnightly,2
37,35,45,2.8,10,Clothing,Cyan,Summer,Weekly,1
38,29,37,3.7,44,Clothing,Red,Winter,Every 3 Months,5
39,70,60,4.2,18,Clothing,Turquoise,Summer,Monthly,0
40,69,76,4.6,31,Accessories,Beige,Winter,Quarterly,0
41,67,39,4.5,40,Accessories,Orange,Spring,Annually,3
42,20,100,4.1,15,Outerwear,Beige,Spring,Annually,1
43,25,69,3.7,19,Accessories,Lavender,Fall,Fortnightly,1
44,39,53,4.6,45,Accessories,Silver,Summer,Weekly,2
45,50,21,2.9,25,Clothing,Indigo,Fall,Annually,4
46,57,43,2.9,45,Clothing,White,Summer,Quarterly,5
47,55,54,4.5,36,Accessories,Charcoal,Winter,Weekly,3
48,42,55,2.7,38,Clothing,Orange,Summer,Monthly,5
49,68,30,4.6,34,Clothing,Indigo,Spring,Bi-Weekly,3
50,49,28,3.7,39,Clothing,Red,Spring,Bi-Weekly,3
51,59,59,4.7,7,Clothing,Gray,Winter,Quarterly,0
52,42,20,2.6,26,Clothing,Green,Summer,Weekly,5
53,29,24,3.9,35,Clothing,Peach,Winter,Weekly,2
54,47,94,4.2,35,Outerwear,Brown,Summer,Bi-Weekly,0
55,40,28,3.0,49,Outerwear,Lavender,Winter,Annually,5
56,41,73,4.7,46,Accessories,Brown,Summer,Weekly,2
57,21,64,4.4,17,Outerwear,White,Summer,Fortnightly,1
58,69,54,4.2,29,Clothing,Charcoal,Summer,Monthly,3
59,63,79,4.6,4,Accessories,Yellow,Spring,Weekly,0
60,50,37,4.0,17,Clothing,Brown,Summer,Weekly,3
61,55,68,4.7,21,Accessories,Orange,Winter,Every 3 Months,0
62,30,21,3.8,31,Footwear,Magenta,Spring,Fortnightly,3
63,33,79,2.7,43,Accessories,Lavender,Winter,Weekly,5
64,65,83,4.8,18,Footwear,Green,Fall,Fortnightly,0
65,65,36,4.8,44,Accessories,Purple,Spring,Every 3 Months,3
66,31,94,4.7,3,Clothing,Magenta,Winter,Every 3 Months,1
67,45,33,4.4,49,Outerwear,Gray,Winter,Monthly,3
68,57,46,3.9,21,Accessories,Silver,Summer,Every 3 Months,3
69,48,70,4.4,5,Accessories,Cyan,Summer,Weekly,1
70,22,29,4.2,32,Accessories,Magenta,Fall,Every 3 Months,2
71,36,48,2.9,34,Clothing,Gold,Summer,Annually,5
72,18,26,2.9,21,Clothing,Olive,Winter,Every 3 Months,1
73,48,85,2.7,43,Clothing,Teal,Spring,Bi-Weekly,5
74,49,58,4.5,3,Accessories,Violet,Spring,Monthly,1
75,64,85,2.7,21,Accessories,Blue,Summer,Annually,4
76,50,43,4.2,32,Accessories,Teal,Summer,Monthly,3
77,22,53,3.3,36,Clothing,Gold,Summer,Fortnightly,5
78,50,91,4.7,50,Clothing,Maroon,Spring,Fortnightly,0
79,38,96,2.6,43,Outerwear,Olive,Winter,Every 3 Months,5
80,19,72,3.3,24,Footwear,Blue,Summer,Every 3 Months,1
